Land,Ride,Wait Time,Local Time,Day of Week
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 11:00:04.141351-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-13 11:00:04.141351-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 11:00:04.141351-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 11:00:04.141351-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 11:00:04.141351-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-13 11:00:04.141351-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,10,2024-07-13 11:00:04.141351-07:00,Saturday
Pixar Pier,Incredicoaster,10,2024-07-13 11:00:04.141351-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,15,2024-07-13 11:00:04.141351-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 11:00:04.141351-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 11:00:04.141351-07:00,Saturday
Grizzly Peak,Soarin' Around the World,25,2024-07-13 11:00:04.141351-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",25,2024-07-13 11:00:04.141351-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,25,2024-07-13 11:00:04.141351-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-13 11:00:04.141351-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,35,2024-07-13 11:00:04.141351-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,50,2024-07-13 11:00:04.141351-07:00,Saturday
Cars Land,Radiator Springs Racers,70,2024-07-13 11:00:04.141351-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 11:15:04.314172-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-13 11:15:04.314172-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 11:15:04.314172-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 11:15:04.314172-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 11:15:04.314172-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-13 11:15:04.314172-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,10,2024-07-13 11:15:04.314172-07:00,Saturday
Pixar Pier,Incredicoaster,10,2024-07-13 11:15:04.314172-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 11:15:04.314172-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-13 11:15:04.314172-07:00,Saturday
Grizzly Peak,Soarin' Around the World,30,2024-07-13 11:15:04.314172-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-13 11:15:04.314172-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-13 11:15:04.314172-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,40,2024-07-13 11:15:04.314172-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,40,2024-07-13 11:15:04.314172-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-13 11:15:04.314172-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,50,2024-07-13 11:15:04.314172-07:00,Saturday
Cars Land,Radiator Springs Racers,70,2024-07-13 11:15:04.314172-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 11:30:03.526097-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-13 11:30:03.526097-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-13 11:30:03.526097-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 11:30:03.526097-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 11:30:03.526097-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 11:30:03.526097-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,10,2024-07-13 11:30:03.526097-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,15,2024-07-13 11:30:03.526097-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 11:30:03.526097-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-13 11:30:03.526097-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-13 11:30:03.526097-07:00,Saturday
Grizzly Peak,Soarin' Around the World,30,2024-07-13 11:30:03.526097-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-13 11:30:03.526097-07:00,Saturday
Pixar Pier,Incredicoaster,35,2024-07-13 11:30:03.526097-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-13 11:30:03.526097-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,40,2024-07-13 11:30:03.526097-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-13 11:30:03.526097-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,50,2024-07-13 11:30:03.526097-07:00,Saturday
Cars Land,Radiator Springs Racers,55,2024-07-13 11:30:03.526097-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 11:45:03.633264-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-13 11:45:03.633264-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 11:45:03.633264-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 11:45:03.633264-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 11:45:03.633264-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-13 11:45:03.633264-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,10,2024-07-13 11:45:03.633264-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,15,2024-07-13 11:45:03.633264-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 11:45:03.633264-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 11:45:03.633264-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,25,2024-07-13 11:45:03.633264-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-13 11:45:03.633264-07:00,Saturday
Grizzly Peak,Soarin' Around the World,30,2024-07-13 11:45:03.633264-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-13 11:45:03.633264-07:00,Saturday
Pixar Pier,Incredicoaster,40,2024-07-13 11:45:03.633264-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,40,2024-07-13 11:45:03.633264-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-13 11:45:03.633264-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,50,2024-07-13 11:45:03.633264-07:00,Saturday
Cars Land,Radiator Springs Racers,55,2024-07-13 11:45:03.633264-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 12:00:03.789039-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-13 12:00:03.789039-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 12:00:03.789039-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 12:00:03.789039-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 12:00:03.789039-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-13 12:00:03.789039-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,15,2024-07-13 12:00:03.789039-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 12:00:03.789039-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 12:00:03.789039-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,25,2024-07-13 12:00:03.789039-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-13 12:00:03.789039-07:00,Saturday
Pixar Pier,Incredicoaster,30,2024-07-13 12:00:03.789039-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-13 12:00:03.789039-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,30,2024-07-13 12:00:03.789039-07:00,Saturday
Grizzly Peak,Soarin' Around the World,35,2024-07-13 12:00:03.789039-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,35,2024-07-13 12:00:03.789039-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-13 12:00:03.789039-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,50,2024-07-13 12:00:03.789039-07:00,Saturday
Cars Land,Radiator Springs Racers,65,2024-07-13 12:00:03.789039-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 12:15:03.911886-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-13 12:15:03.911886-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 12:15:03.911886-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 12:15:03.911886-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 12:15:03.911886-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-13 12:15:03.911886-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,15,2024-07-13 12:15:03.911886-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 12:15:03.911886-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 12:15:03.911886-07:00,Saturday
Pixar Pier,Incredicoaster,25,2024-07-13 12:15:03.911886-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-13 12:15:03.911886-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-13 12:15:03.911886-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,30,2024-07-13 12:15:03.911886-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,35,2024-07-13 12:15:03.911886-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,35,2024-07-13 12:15:03.911886-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,45,2024-07-13 12:15:03.911886-07:00,Saturday
Grizzly Peak,Soarin' Around the World,45,2024-07-13 12:15:03.911886-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-13 12:15:03.911886-07:00,Saturday
Cars Land,Radiator Springs Racers,65,2024-07-13 12:15:03.911886-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-13 12:30:04.232996-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 12:30:04.232996-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-13 12:30:04.232996-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 12:30:04.232996-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 12:30:04.232996-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 12:30:04.232996-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 12:30:04.232996-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,15,2024-07-13 12:30:04.232996-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 12:30:04.232996-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,20,2024-07-13 12:30:04.232996-07:00,Saturday
Pixar Pier,Incredicoaster,25,2024-07-13 12:30:04.232996-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-13 12:30:04.232996-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",30,2024-07-13 12:30:04.232996-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,35,2024-07-13 12:30:04.232996-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,35,2024-07-13 12:30:04.232996-07:00,Saturday
Grizzly Peak,Soarin' Around the World,45,2024-07-13 12:30:04.232996-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-13 12:30:04.232996-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-13 12:30:04.232996-07:00,Saturday
Cars Land,Radiator Springs Racers,65,2024-07-13 12:30:04.232996-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-13 12:45:04.359121-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 12:45:04.359121-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-13 12:45:04.359121-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 12:45:04.359121-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 12:45:04.359121-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 12:45:04.359121-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,10,2024-07-13 12:45:04.359121-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 12:45:04.359121-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,20,2024-07-13 12:45:04.359121-07:00,Saturday
Pixar Pier,Incredicoaster,25,2024-07-13 12:45:04.359121-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,25,2024-07-13 12:45:04.359121-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-13 12:45:04.359121-07:00,Saturday
Grizzly Peak,Soarin' Around the World,30,2024-07-13 12:45:04.359121-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",30,2024-07-13 12:45:04.359121-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,35,2024-07-13 12:45:04.359121-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,35,2024-07-13 12:45:04.359121-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-13 12:45:04.359121-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-13 12:45:04.359121-07:00,Saturday
Cars Land,Radiator Springs Racers,65,2024-07-13 12:45:04.359121-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 13:00:03.660454-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-13 13:00:03.660454-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 13:00:03.660454-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 13:00:03.660454-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 13:00:03.660454-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-13 13:00:03.660454-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,15,2024-07-13 13:00:03.660454-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 13:00:03.660454-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 13:00:03.660454-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-13 13:00:03.660454-07:00,Saturday
Grizzly Peak,Soarin' Around the World,30,2024-07-13 13:00:03.660454-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",30,2024-07-13 13:00:03.660454-07:00,Saturday
Pixar Pier,Incredicoaster,30,2024-07-13 13:00:03.660454-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-13 13:00:03.660454-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,35,2024-07-13 13:00:03.660454-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,35,2024-07-13 13:00:03.660454-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-13 13:00:03.660454-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-13 13:00:03.660454-07:00,Saturday
Cars Land,Radiator Springs Racers,65,2024-07-13 13:00:03.660454-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-13 13:15:03.800664-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 13:15:03.800664-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-13 13:15:03.800664-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 13:15:03.800664-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 13:15:03.800664-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 13:15:03.800664-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 13:15:03.800664-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 13:15:03.800664-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-13 13:15:03.800664-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,20,2024-07-13 13:15:03.800664-07:00,Saturday
Pixar Pier,Incredicoaster,30,2024-07-13 13:15:03.800664-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-13 13:15:03.800664-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,35,2024-07-13 13:15:03.800664-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,35,2024-07-13 13:15:03.800664-07:00,Saturday
Grizzly Peak,Soarin' Around the World,35,2024-07-13 13:15:03.800664-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,35,2024-07-13 13:15:03.800664-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",40,2024-07-13 13:15:03.800664-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-13 13:15:03.800664-07:00,Saturday
Cars Land,Radiator Springs Racers,65,2024-07-13 13:15:03.800664-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-13 13:30:03.990185-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 13:30:03.990185-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 13:30:03.990185-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 13:30:03.990185-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 13:30:03.990185-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-13 13:30:03.990185-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 13:30:03.990185-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 13:30:03.990185-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-13 13:30:03.990185-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,20,2024-07-13 13:30:03.990185-07:00,Saturday
Pixar Pier,Incredicoaster,30,2024-07-13 13:30:03.990185-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-13 13:30:03.990185-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,35,2024-07-13 13:30:03.990185-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,35,2024-07-13 13:30:03.990185-07:00,Saturday
Grizzly Peak,Soarin' Around the World,40,2024-07-13 13:30:03.990185-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-13 13:30:03.990185-07:00,Saturday
Cars Land,Radiator Springs Racers,55,2024-07-13 13:30:03.990185-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-13 13:30:03.990185-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-13 13:45:04.134690-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 13:45:04.134690-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 13:45:04.134690-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 13:45:04.134690-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-13 13:45:04.134690-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-13 13:45:04.134690-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 13:45:04.134690-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 13:45:04.134690-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-13 13:45:04.134690-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,20,2024-07-13 13:45:04.134690-07:00,Saturday
Pixar Pier,Incredicoaster,30,2024-07-13 13:45:04.134690-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-13 13:45:04.134690-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-13 13:45:04.134690-07:00,Saturday
Grizzly Peak,Soarin' Around the World,40,2024-07-13 13:45:04.134690-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,40,2024-07-13 13:45:04.134690-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,45,2024-07-13 13:45:04.134690-07:00,Saturday
Cars Land,Radiator Springs Racers,55,2024-07-13 13:45:04.134690-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,120,2024-07-13 13:45:04.134690-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-13 14:00:04.448973-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 14:00:04.448973-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 14:00:04.448973-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 14:00:04.448973-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-13 14:00:04.448973-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-13 14:00:04.448973-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 14:00:04.448973-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 14:00:04.448973-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-13 14:00:04.448973-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,20,2024-07-13 14:00:04.448973-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,20,2024-07-13 14:00:04.448973-07:00,Saturday
Pixar Pier,Incredicoaster,30,2024-07-13 14:00:04.448973-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,30,2024-07-13 14:00:04.448973-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-13 14:00:04.448973-07:00,Saturday
Grizzly Peak,Soarin' Around the World,40,2024-07-13 14:00:04.448973-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,45,2024-07-13 14:00:04.448973-07:00,Saturday
Cars Land,Radiator Springs Racers,65,2024-07-13 14:00:04.448973-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,120,2024-07-13 14:00:04.448973-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-13 14:15:03.620680-07:00,Saturday
Paradise Gardens Park,Golden Zephyr,5,2024-07-13 14:15:03.620680-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 14:15:03.620680-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 14:15:03.620680-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-13 14:15:03.620680-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-13 14:15:03.620680-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 14:15:03.620680-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 14:15:03.620680-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-13 14:15:03.620680-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,20,2024-07-13 14:15:03.620680-07:00,Saturday
Pixar Pier,Incredicoaster,30,2024-07-13 14:15:03.620680-07:00,Saturday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",35,2024-07-13 14:15:03.620680-07:00,Saturday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-13 14:15:03.620680-07:00,Saturday
Grizzly Peak,Soarin' Around the World,40,2024-07-13 14:15:03.620680-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,40,2024-07-13 14:15:03.620680-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,45,2024-07-13 14:15:03.620680-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-13 14:15:03.620680-07:00,Saturday
Cars Land,Radiator Springs Racers,65,2024-07-13 14:15:03.620680-07:00,Saturday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,120,2024-07-13 14:15:03.620680-07:00,Saturday
Pixar Pier,Games of Pixar Pier,5,2024-07-13 14:30:03.819144-07:00,Saturday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-13 14:30:03.819144-07:00,Saturday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-13 14:30:03.819144-07:00,Saturday
Pixar Pier,Jumpin' Jellyfish,10,2024-07-13 14:30:03.819144-07:00,Saturday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-13 14:30:03.819144-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-13 14:30:03.819144-07:00,Saturday
Cars Land,Mater's Junkyard Jamboree,20,2024-07-13 14:30:03.819144-07:00,Saturday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,20,2024-07-13 14:30:03.819144-07:00,Saturday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-13 14:30:03.819144-07:00,Saturday
Pixar Pier,Incredicoaster,30,2024-07-13 14:30:03.819144-07:00,Saturday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-13 14:30:03.819144-07:00,Saturday
Grizzly Peak,Soarin' Around the World,40,2024-07-13 14:30:03.819144-07:00,Saturday
Pixar Pier,Pixar Pal-A-Round - Swinging,40,2024-07-13 14:30:03.819144-07:00,Saturday
Paradise Gardens Park,Goofy's Sky School,45,2024-07-13 14:30:03.819144-07:00,Saturday
Cars Land,Radiator Springs Racers,65,2024-07-13 14:30:03.819144-07:00,Saturday
